City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
saint-augustin,0,FR,1554148233,58,44.83,-0.61,59.0,3.36
mahebourg,20,MU,1554147841,83,-20.41,57.7,75.99,3.36
port alfred,92,ZA,1554147569,80,-33.59,26.89,63.0,5.01
punta arenas,90,CL,1554147776,93,-53.16,-70.91,55.4,5.82
petropavlovsk-kamchatskiy,40,RU,1554145200,92,53.05,158.65,28.4,2.24
springbok,12,ZA,1554148396,40,-29.67,17.88,53.89,9.08
thompson,75,CA,1554145200,68,55.74,-97.86,32.0,13.87
ucluelet,40,CA,1554148053,47,48.94,-125.55,64.99,6.93
new norfolk,20,AU,1554147794,87,-42.78,147.06,45.0,11.41
rio grande,40,BR,1554145200,69,-32.03,-52.1,82.4,11.41
ekibastuz,0,KZ,1554148397,76,51.72,75.32,28.15,2.75
broome,0,GB,1554147838,87,52.47,1.45,48.99,4.7
kodiak,1,US,1554147794,9,39.95,-94.76,57.0,16.11
kayasula,92,RU,1554148397,95,44.33,45.0,41.92,10.02
port blair,8,IN,1554148353,100,11.67,92.75,83.68,4.32
nome,90,US,1554147825,41,30.04,-94.42,60.8,6.93
atuona,76,PF,1554147824,100,-9.8,-139.03,80.35,10.36
kiunga,88,PG,1554147880,97,-6.12,141.3,72.25,1.25
bluff,0,AU,1554147804,79,-23.58,149.07,62.62,9.64
norman wells,75,CA,1554145200,73,65.28,-126.83,26.6,12.75
barrow,20,AR,1554147884,35,-38.31,-60.23,83.23,11.32
copiapo,75,CL,1554145200,63,-27.37,-70.33,64.4,11.41
pierre,90,US,1554148221,74,44.37,-100.35,33.01,6.93
paracuru,64,BR,1554147753,91,-3.41,-39.03,77.0,5.99
east london,32,ZA,1554147804,100,-33.02,27.91,66.31,24.34
nelson bay,40,AU,1554148338,100,-32.72,152.14,64.99,8.05
chivilcoy,48,AR,1554148225,65,-34.9,-60.02,80.26,4.72
ushuaia,75,AR,1554145200,87,-54.81,-68.31,53.6,5.28
jamestown,0,AU,1554147823,83,-33.21,138.6,42.1,4.61
filingue,32,NE,1554147893,24,14.35,3.32,85.21,6.89
kapaa,1,US,1554147801,64,22.08,-159.32,75.2,6.22
alofi,40,NU,1554145200,78,-19.06,-169.92,78.8,6.93
hithadhoo,92,MV,1554147809,100,-0.6,73.08,83.23,6.85
mataura,92,NZ,1554147607,85,-46.19,168.86,48.99,9.64
vaini,0,IN,1554147815,91,15.34,74.49,66.49,1.07
baykit,88,RU,1554147866,82,61.68,96.39,27.25,9.01
tuktoyaktuk,20,CA,1554145200,77,69.44,-133.03,6.8,11.41
hilo,1,US,1554147740,61,19.71,-155.08,80.01,5.06
eenhana,88,NA,1554148403,36,-17.48,16.34,80.35,8.01
georgetown,40,GY,1554145200,52,6.8,-58.16,89.6,8.63
port-gentil,20,GA,1554145200,83,-0.72,8.78,84.2,11.41
slave lake,40,CA,1554145200,56,55.28,-114.77,42.8,14.99
manassas,1,US,1554148406,18,38.75,-77.48,51.01,9.17
albany,40,US,1554148449,34,42.65,-73.75,42.01,11.41
plonsk,0,PL,1554148168,40,52.62,20.38,43.0,5.82
vanavara,88,RU,1554148347,74,60.35,102.28,31.03,11.77
horizontina,32,BR,1554148465,79,-27.63,-54.31,80.71,3.71
nador,0,MA,1554145200,72,35.17,-2.93,62.6,3.36
castro,90,CL,1554145200,93,-42.48,-73.76,53.6,18.34
hobart,20,AU,1554148455,87,-42.88,147.33,45.0,11.41
talnakh,92,RU,1554147904,93,69.49,88.39,24.82,9.57
chuy,20,UY,1554147582,80,-33.69,-53.46,73.33,8.23
ust-maya,0,RU,1554148465,74,60.42,134.54,5.02,2.98
qaanaaq,8,GL,1554148466,86,77.48,-69.36,1.96,7.78
vaitape,76,PF,1554148466,100,-16.52,-151.75,83.86,5.99
yar-sale,12,RU,1554148466,74,66.83,70.83,13.48,4.09
kimbe,92,PG,1554147944,100,-5.56,150.15,75.85,2.19
kvarkeno,0,RU,1554148466,75,52.08,59.73,27.25,7.07
kasongo,56,CD,1554148467,77,-4.43,26.67,74.32,3.6
tura,0,IN,1554147889,94,25.52,90.21,62.89,4.76
severo-kurilsk,88,RU,1554148467,100,50.68,156.12,28.33,6.51
rawson,76,AR,1554147884,28,-43.3,-65.11,82.69,6.33
galesong,20,ID,1554145200,100,-5.32,119.37,77.0,1.12
kaitangata,92,NZ,1554148350,81,-46.28,169.85,45.0,4.0
chokurdakh,0,RU,1554148468,67,70.62,147.9,-0.66,4.32
saskylakh,0,RU,1554148468,59,71.97,114.09,7.81,5.88
mehriz,20,IR,1554145200,35,31.58,54.44,71.6,13.87
sherlovaya gora,0,RU,1554148468,51,50.53,116.31,6.46,2.98
cherskiy,80,RU,1554148298,72,68.75,161.3,22.03,6.4
avera,1,US,1554147847,25,33.19,-82.53,63.0,8.05
alice springs,0,AU,1554145200,37,-23.7,133.88,50.0,4.7
kruisfontein,48,ZA,1554148220,83,-34.0,24.73,57.76,8.57
luderitz,0,NA,1554148469,71,-26.65,15.16,61.63,20.38
muros,20,ES,1554148454,54,42.77,-9.06,59.0,6.93
guerrero negro,12,MX,1554147877,31,27.97,-114.04,81.07,7.4
salalah,40,OM,1554144600,74,17.01,54.1,80.6,5.82
upernavik,56,GL,1554148208,100,72.79,-56.15,17.44,7.0
duluth,40,US,1554148460,55,46.77,-92.13,41.0,5.84
cayenne,56,GF,1554145200,66,4.94,-52.33,84.2,16.11
avarua,76,CK,1554147000,74,-21.21,-159.78,80.6,10.29
konstantinovka,0,MD,1554147112,43,47.99,28.86,43.0,3.0
aklavik,75,CA,1554145200,79,68.22,-135.01,23.0,5.82
saint-felicien,75,CA,1554148120,49,48.65,-72.45,28.99,14.99
monrovia,40,LR,1554147000,83,6.33,-10.8,80.6,6.93
arraial do cabo,0,BR,1554145200,61,-22.97,-42.02,80.6,3.36
ormara,0,PK,1554148530,79,25.21,64.64,76.66,11.88
aguimes,40,ES,1554148233,72,27.91,-15.45,64.4,1.12
grand-lahou,8,CI,1554148531,80,5.24,-5.0,81.79,7.52
pochutla,5,MX,1554147984,70,15.74,-96.47,90.0,9.17
verkhnevilyuysk,0,RU,1554148531,83,63.45,120.31,18.43,6.22
meulaboh,92,ID,1554148531,100,4.14,96.13,77.38,4.32
jacareacanga,12,BR,1554148532,77,-6.22,-57.76,84.76,2.08
villarrobledo,48,ES,1554148207,88,39.27,-2.6,48.99,1.99
martapura,36,ID,1554145200,100,-3.41,114.85,75.2,4.7
andros town,40,BS,1554147918,54,24.73,-77.79,81.0,10.29
tabuk,88,PH,1554148396,96,17.41,121.44,65.95,1.7
ostrovnoy,88,RU,1554147936,85,68.05,39.51,21.13,14.27
sitka,0,US,1554148023,48,37.17,-99.65,55.0,3.0
sao jose da coroa grande,48,BR,1554148533,91,-8.9,-35.15,79.45,5.21
paka,0,HR,1554145200,50,45.29,18.06,53.6,8.05
abu zabad,0,SD,1554148533,26,12.35,29.25,69.28,9.35
nishihara,20,JP,1554148309,80,35.74,139.53,41.0,9.17
shaunavon,76,CA,1554148533,47,49.65,-108.41,45.7,16.96
geraldton,75,CA,1554145200,57,49.72,-86.95,32.0,19.46
ambon,0,FR,1554148516,67,47.55,-2.56,60.8,4.7
pedernales,100,EC,1554148534,67,0.07,-80.05,81.88,5.5
tiksi,8,RU,1554148534,69,71.64,128.87,4.48,2.53
vila velha,92,BR,1554147753,100,-3.71,-38.6,77.0,4.0
bethel,75,US,1554144960,69,60.79,-161.76,39.2,3.36
sao gabriel da cachoeira,40,BR,1554145200,59,-0.13,-67.09,91.4,4.7
luhyny,0,UA,1554148535,57,51.08,28.4,34.81,8.34
bathsheba,40,BB,1554145200,65,13.22,-59.52,82.4,20.8
okhotsk,8,RU,1554148267,86,59.36,143.24,18.88,7.56
ojinaga,1,US,1554147985,23,29.56,-104.41,66.0,3.36
katsuura,20,JP,1554145200,69,33.93,134.5,37.4,3.36
selikhino,48,RU,1554148536,72,50.37,137.51,12.4,2.48
samarai,92,PG,1554148536,100,-10.62,150.67,77.38,19.04
saint george,0,GR,1554144600,62,39.45,22.34,51.8,5.82
vilela,0,PT,1554148267,76,41.66,-8.33,59.0,3.36
kurumkan,32,RU,1554148537,57,54.33,110.32,2.86,1.7
los llanos de aridane,90,ES,1554148201,87,28.66,-17.92,60.8,14.99
aquiraz,92,BR,1554147753,96,-3.9,-38.39,77.0,4.0
bryan,90,US,1554148536,59,30.67,-96.37,57.99,3.36
gerash,0,IR,1554145200,46,27.67,54.14,71.6,0.18
grindavik,40,IS,1554147415,74,63.84,-22.43,35.01,19.46
mar del plata,64,AR,1554148538,52,-46.43,-67.52,69.46,24.4
wewak,88,PG,1554148538,98,-3.55,143.63,75.85,2.82
suba,92,CN,1554148598,100,28.73,103.51,53.26,2.48
pacific grove,1,US,1554148589,43,36.62,-121.92,73.99,3.71
cape town,0,ZA,1554148565,62,-33.93,18.42,60.01,17.22
leshukonskoye,44,RU,1554148599,71,64.9,45.76,27.88,7.74
fortuna,75,ES,1554148596,82,38.18,-1.13,60.01,5.82
noumea,0,NC,1554147000,93,-22.28,166.46,66.2,9.01
coihaique,75,CL,1554145200,82,-45.58,-72.07,55.4,17.22
vanderhoof,0,CA,1554148600,52,54.02,-124.02,47.86,3.6
beloha,0,MG,1554148491,85,-25.17,45.06,69.55,7.0
torrevieja,75,ES,1554148521,87,37.98,-0.68,60.01,5.82
lakeside,5,US,1554148594,34,32.86,-116.92,84.2,8.05
laguna,75,MX,1554144120,23,27.52,-110.01,84.2,6.93
ponta do sol,76,BR,1554148601,58,-20.63,-46.0,77.47,1.07
resende,24,BR,1554148601,90,-22.47,-44.45,64.69,0.69
nanchong,100,CN,1554148601,94,30.8,106.08,54.7,6.73
terre haute,1,US,1554148521,52,39.47,-87.41,51.01,6.93
klaksvik,68,FO,1554146400,93,62.23,-6.59,35.6,11.41
moranbah,0,AU,1554148602,85,-22.0,148.04,63.79,11.1
lompoc,1,US,1554148340,43,34.64,-120.46,79.0,2.86
bilibino,12,RU,1554148602,74,68.06,166.44,20.41,5.61
kenai,1,US,1554148324,69,60.55,-151.26,46.0,2.53
bambous virieux,20,MU,1554148442,83,-20.34,57.76,75.2,3.36
torbay,75,CA,1554148009,72,47.66,-52.73,59.0,28.86
vostok,12,RU,1554148603,62,46.45,135.83,2.59,1.86
eyl,80,SO,1554148603,100,7.98,49.82,75.85,4.27
adrar,0,DZ,1554145200,19,27.87,-0.29,78.8,4.7
nanortalik,92,GL,1554148603,100,60.14,-45.24,27.61,23.4
huarmey,44,PE,1554148603,63,-10.07,-78.15,76.3,4.54
novaya zaimka,8,RU,1554148604,90,56.49,66.92,35.71,18.07
novyy urengoy,88,RU,1554148604,84,66.08,76.63,21.49,10.76
mudgal,12,IN,1554148604,51,16.02,76.43,76.03,10.02
airai,24,TL,1554148604,89,-8.93,125.41,66.94,1.25
jangaon,0,IN,1554148604,72,17.72,79.16,71.98,11.14
dhidhdhoo,64,MV,1554148605,100,6.88,73.1,82.15,2.59
lypnyazhka,0,UA,1554148605,46,48.45,31.08,38.68,15.35
thinadhoo,56,MV,1554148589,100,0.53,72.93,83.41,6.73
khor,48,RU,1554148605,65,47.88,134.96,10.78,3.31
belmonte,32,PT,1554147916,86,40.36,-7.35,51.01,5.01
mporokoso,32,ZM,1554148491,94,-9.37,30.12,62.08,3.31
nuuk,75,GL,1554147750,45,64.17,-51.74,24.8,4.7
bridlington,0,GB,1554148369,81,54.08,-0.19,45.0,11.41
tornio,0,FI,1554148304,47,61.12,27.27,37.4,13.87
wanaka,64,NZ,1554148606,61,-44.7,169.14,42.46,2.08
jining,0,CN,1554148606,54,35.41,116.58,39.94,9.35
ancud,90,CL,1554145200,93,-41.87,-73.83,53.6,18.34
nikolskoye,0,RU,1554148536,69,59.7,30.79,36.0,8.95
sivaki,0,RU,1554148667,63,52.63,126.75,8.53,6.11
rio gallegos,75,AR,1554145200,72,-51.62,-69.22,59.0,2.24
santa marta,75,CO,1554148542,52,11.24,-74.21,93.2,18.34
hualmay,32,PE,1554148668,71,-11.1,-77.61,73.87,6.11
udachnyy,64,RU,1554148668,88,66.42,112.4,29.68,4.88
cabo san lucas,5,MX,1554148027,36,22.89,-109.91,87.01,10.29
tairua,0,NZ,1554148600,74,-37.02,175.85,64.99,8.01
sao filipe,0,CV,1554148668,97,14.9,-24.5,70.81,14.56
lamu,20,ID,1554148668,100,0.57,122.3,70.72,3.27
belaya gora,8,RU,1554148669,69,68.54,146.19,-1.56,5.5
viedma,0,AR,1554148669,32,-40.81,-62.99,87.19,14.05
varhaug,75,NO,1554148505,60,58.61,5.65,39.2,14.99
kahului,20,US,1554148481,65,20.89,-156.47,80.6,5.82
marfino,0,RU,1554148199,93,56.07,37.56,35.6,6.71
cidreira,0,BR,1554148669,71,-30.17,-50.22,77.38,11.77
ankara,40,TR,1554148568,60,39.92,32.85,46.4,6.93
vardo,1,US,1554148577,31,39.62,-77.74,48.99,10.29
abu samrah,12,SY,1554148670,91,35.3,37.18,48.85,10.36
anloga,20,GH,1554145200,83,5.79,0.9,84.2,11.41
pingshan,92,CN,1554148670,99,28.83,104.35,57.94,4.09
sola,75,NO,1554148505,60,58.89,5.65,39.2,14.99
ranong,68,TH,1554148671,100,9.96,98.62,82.42,3.6
tautira,75,PF,1554148359,66,-17.73,-149.15,87.8,12.75
komsomolskiy,56,RU,1554148511,91,67.55,63.78,25.18,16.17
lebu,75,ET,1554145200,63,8.96,38.73,62.6,12.75
pangnirtung,20,CA,1554145200,65,66.15,-65.72,6.8,2.24
miri,12,NG,1554148672,33,10.31,9.75,73.96,5.73
isla vista,1,US,1554148639,43,34.41,-119.86,78.01,5.39
teguldet,48,RU,1554148672,91,57.31,88.17,28.42,5.84
itaqui,44,BR,1554148672,78,-29.13,-56.55,80.35,7.56
aragarcas,20,BR,1554145200,44,-15.9,-52.25,93.2,3.04
pregradnoye,76,RU,1554148673,90,45.82,41.75,43.99,10.02
talcahuano,0,CL,1554145200,59,-36.72,-73.12,66.2,14.99
monmouth,12,GB,1554148445,53,51.81,-2.72,51.8,3.36
benito juarez,44,MX,1554148578,21,28.64,-111.57,90.0,5.99
pushkinskiye gory,0,RU,1554148674,66,57.02,28.91,29.05,5.1
mount gambier,44,AU,1554145200,93,-37.83,140.78,42.8,6.93
mehamn,40,NO,1554146400,80,71.03,27.85,30.2,17.22
karaton,20,ID,1554148365,83,-6.34,106.1,78.8,8.05
longyearbyen,20,NO,1554144600,60,78.22,15.63,10.4,11.41
fenoarivo atsinanana,100,MG,1554148675,89,-17.38,49.41,74.86,2.71
emerald,0,AU,1554148241,77,-23.53,148.16,62.6,6.93
labuhan,24,ID,1554148735,97,-2.54,115.51,71.35,2.19
zyryanka,76,RU,1554148735,76,65.73,150.89,9.61,5.84
hamilton,75,CA,1554148733,55,43.26,-79.87,39.99,12.75
opuwo,8,NA,1554148736,82,-18.06,13.84,64.96,4.05
athens,90,US,1554148424,29,34.8,-86.97,59.0,6.93
banamba,8,ML,1554148736,43,13.55,-7.45,85.84,6.51
fez,40,MA,1554145200,67,34.03,-5.02,60.8,4.7
san cristobal,75,EC,1554147905,64,-0.39,-78.55,68.0,16.11
kununurra,24,AU,1554147000,82,-15.77,128.74,64.4,1.12
winneba,40,GH,1554145200,83,5.35,-0.62,84.2,10.29
acajutla,8,SV,1554148510,71,13.59,-89.83,84.99,3.0
currais novos,64,BR,1554148570,75,-6.26,-36.52,79.18,6.22
fleetwood,1,US,1554148735,26,40.45,-75.82,46.99,11.41
lieksa,56,FI,1554148623,77,63.32,30.02,30.58,6.85
pechenga,0,RU,1554148738,87,58.89,41.46,27.07,8.3
veraval,0,FR,1554148374,62,49.65,0.71,62.01,5.82
puerto ayora,20,EC,1554147991,70,-0.74,-90.35,86.0,14.99
kihei,20,US,1554148481,65,20.76,-156.45,80.6,5.82
koumac,56,NC,1554148738,93,-20.56,164.28,76.84,5.77
matola,75,MZ,1554145200,69,-25.97,32.47,78.8,13.87
zambezi,0,ZM,1554148496,56,-13.55,23.12,70.63,6.33
bilma,20,NE,1554148739,26,18.69,12.92,71.71,6.55
jardim,20,BR,1554148739,59,-21.48,-56.15,85.57,7.0
kishi,12,NG,1554148740,54,9.08,3.85,83.86,6.06
faanui,68,PF,1554148740,100,-16.48,-151.75,82.78,6.33
lagos,40,NG,1554145200,79,6.46,3.39,86.0,6.93
aykhal,76,RU,1554148740,89,65.95,111.51,28.96,6.89
kungurtug,0,RU,1554148740,66,50.6,97.53,9.43,2.48
livingston,1,US,1554148005,29,32.58,-88.19,62.01,4.7
beringovskiy,92,RU,1554148741,100,63.05,179.32,31.12,8.9
grand gaube,20,MU,1554148442,83,-20.01,57.66,75.2,3.36
stillwater,40,US,1554148572,32,36.12,-97.06,57.0,7.4
gweta,20,BW,1554148742,29,-20.21,25.26,76.84,11.77
akureyri,0,IS,1554145200,40,65.68,-18.09,35.6,5.82
hurricane,1,US,1554148210,18,37.18,-113.29,66.99,3.36
umm kaddadah,0,SD,1554148742,18,13.6,26.69,72.07,11.88
broken hill,0,AU,1554145200,66,-31.97,141.45,55.4,4.99
iqaluit,20,CA,1554148339,71,63.75,-68.52,6.8,4.7
mildura,0,AU,1554147939,71,-34.18,142.16,50.0,6.06
havre-saint-pierre,90,CA,1554147780,88,50.23,-63.6,32.0,17.22
san juan del sur,0,NI,1554145200,52,11.25,-85.87,87.8,6.93
sambava,68,MG,1554148743,100,-14.27,50.17,81.79,6.29
manokwari,44,ID,1554148804,100,-0.87,134.08,80.98,11.59
kirkwall,76,GB,1554148518,81,58.98,-2.96,44.6,16.11
siavonga,0,ZW,1554148808,71,-16.54,28.71,73.78,3.31
meadow lake,90,CA,1554145200,56,54.13,-108.44,41.0,24.16
hasaki,75,JP,1554148475,93,35.73,140.83,35.6,4.7
karratha,0,AU,1554148812,90,-20.74,116.85,76.21,7.52
pandan,0,PH,1554148812,100,11.72,122.09,79.54,18.19
san jose,80,PH,1554148603,98,15.79,120.99,71.08,2.19
dauphin,75,CA,1554145200,60,51.15,-100.04,42.8,24.16
aswan,64,EG,1554148821,45,24.09,32.9,56.32,2.98
bertoua,0,CM,1554148821,56,4.58,13.68,77.92,5.88
kalna,40,IN,1554147000,88,23.22,88.36,80.6,4.7
kangundo,20,KE,1554147000,46,-1.3,37.35,73.4,9.17
peniche,20,PT,1554148807,82,39.36,-9.38,57.2,8.05
rivera,76,UY,1554148823,72,-30.9,-55.54,79.81,4.05
zhanakorgan,0,KZ,1554148824,89,43.91,67.25,37.33,2.86
messina,40,IT,1554148802,67,38.19,15.55,59.0,2.24
waddan,0,LY,1554148824,29,29.16,16.14,70.99,11.54
tsiroanomandidy,56,MG,1554148824,92,-18.77,46.05,64.06,2.75
pevek,12,RU,1554148824,73,69.7,170.27,20.77,14.34
black river,20,JM,1554145200,70,18.03,-77.85,84.2,21.92
kirakira,92,SB,1554148825,100,-10.46,161.92,83.68,9.42
katherine,8,AU,1554147000,77,-14.47,132.26,68.0,4.7
karangampel,12,ID,1554148825,100,-6.46,108.44,78.82,4.5
russell,20,AR,1554145200,44,-33.01,-68.8,80.6,4.7
loikaw,0,MM,1554148826,79,19.67,97.21,62.17,2.98
shubarshi,36,KZ,1554148826,76,48.59,57.19,33.46,8.41
ugoofaaru,0,MV,1554148586,100,5.67,73.0,83.41,1.7
olinda,64,EC,1554148793,81,-2.03,-79.75,82.0,1.99
george,40,NG,1554145200,79,6.63,3.35,86.0,6.93
quime,24,BO,1554148827,52,-16.98,-67.22,64.15,1.86
poum,20,MK,1554145200,25,41.28,20.71,51.8,3.36
khasan,0,RU,1554148827,100,42.43,130.64,27.61,9.24
naze,76,NG,1554148827,90,5.43,7.07,77.38,6.51
bom jesus,40,BR,1554145200,100,-5.99,-35.58,80.6,2.24
vuktyl,64,RU,1554148589,79,63.86,57.31,27.88,5.73
pak phanang,80,TH,1554148828,100,8.35,100.2,81.97,2.37
chikhli,0,IN,1554148828,97,20.76,73.06,70.09,8.52
husavik,32,CA,1554148825,52,50.56,-96.99,44.01,11.99
aitape,44,PG,1554148829,97,-3.15,142.36,79.9,6.22
gonzalez,88,CO,1554148829,81,8.39,-73.38,76.57,1.19
soyo,20,AO,1554145200,70,-6.13,12.37,84.2,4.7
north bend,90,US,1554148530,93,43.41,-124.22,59.0,2.98
palmer,0,AU,1554148825,87,-34.85,139.16,60.01,5.82
galveston,75,US,1554148522,52,40.58,-86.19,46.4,14.99
chapais,90,CA,1554146400,62,49.78,-74.86,24.8,16.11
khandyga,0,RU,1554148770,67,62.65,135.58,1.78,2.53
sawankhalok,0,TH,1554147893,48,17.31,99.83,86.0,4.09
san carlos de bariloche,75,AR,1554145200,19,-41.13,-71.31,69.8,27.51
terrace,5,CA,1554145200,40,54.52,-128.61,51.8,19.46
atikokan,12,CA,1554148891,46,48.76,-91.62,36.61,8.34
todos santos,5,MX,1554148883,28,23.45,-110.23,88.0,11.41
lagunas,12,PE,1554148892,70,-5.23,-75.68,86.92,3.09
turukhansk,80,RU,1554148892,93,65.8,87.96,28.33,9.8
langxiang,8,CN,1554148892,53,46.95,128.87,14.47,4.27
kasempa,0,ZM,1554148870,79,-13.46,25.83,64.69,2.98
west bay,0,GB,1554148892,81,50.71,-2.76,51.01,2.24
clyde river,75,CA,1554145200,84,70.47,-68.59,-0.41,5.82
taranto,0,IT,1554148811,87,40.47,17.24,59.0,2.24
kailua,40,US,1554148773,57,21.39,-157.74,78.01,8.05
brandfort,8,ZA,1554145200,48,-28.7,26.46,62.6,2.24
burnie,0,AU,1554148838,85,-41.05,145.91,50.0,4.72
astana,0,KZ,1554147000,71,51.13,71.43,32.0,6.71
moron,12,VE,1554148894,70,10.49,-68.2,78.46,4.88
foeni,0,RO,1554148750,41,45.5,20.88,59.0,20.8
leh,56,IN,1554148894,79,34.16,77.58,5.65,1.19
kamaishi,0,JP,1554148894,88,39.28,141.86,26.35,5.21
te anau,88,NZ,1554148894,97,-45.41,167.72,41.83,3.49
port hardy,20,CA,1554145200,87,50.7,-127.42,44.6,3.36
salta,90,AR,1554145200,88,-24.79,-65.41,78.8,8.05
tilichiki,92,RU,1554148895,93,60.47,166.1,33.37,9.08
canton,1,US,1554148627,37,40.8,-81.38,42.01,4.7
kazerun,92,IR,1554148895,73,29.62,51.65,53.8,1.36
coronel fabriciano,0,BR,1554145200,52,-19.52,-42.63,87.8,6.93
san miguel,0,AR,1554148810,78,-34.54,-58.72,82.0,8.05
acapulco,5,MX,1554144420,58,16.86,-99.88,84.2,11.41
alakurtti,20,RU,1554148290,84,66.96,30.34,27.0,1.01
araouane,0,ML,1554148898,29,18.9,-3.53,85.57,11.25
egvekinot,68,RU,1554148882,95,66.32,-179.17,26.08,3.2
biak,32,ID,1554148898,100,-0.91,122.88,76.57,3.27
le port,76,FR,1554148893,70,42.87,1.37,54.0,5.99
illertissen,20,DE,1554148874,66,48.22,10.11,51.01,6.93
okitipupa,8,NG,1554148900,85,6.5,4.78,79.81,5.21
saint-pierre,0,FR,1554148625,50,48.95,4.24,57.2,8.05
cagliari,40,IT,1554148861,69,46.38,10.88,48.99,9.17
houston,90,US,1554148866,58,29.76,-95.37,57.0,5.82
amzya,0,RU,1554148901,88,56.24,54.39,26.8,2.59
vire,36,FR,1554148840,87,48.84,-0.89,51.01,3.36
jawhar,0,IN,1554148961,91,19.91,73.23,60.55,2.48
hailun,76,CN,1554148962,40,47.46,126.97,21.85,8.63
kitui,88,KE,1554148962,93,-1.37,38.02,66.04,4.54
shahpura,0,IN,1554148962,35,25.63,74.93,65.59,1.97
aba,76,NG,1554148962,90,5.11,7.36,77.38,6.51
nenzing,32,AT,1554148887,76,47.18,9.7,53.6,1.12
esperance,20,TT,1554148855,49,10.24,-61.45,89.6,14.99
caxito,20,BR,1554145200,57,-22.65,-42.51,80.6,12.75
sao joao da barra,75,BR,1554145200,65,-21.64,-41.05,78.8,13.87
walvis bay,0,NA,1554148932,84,-22.95,14.51,62.01,5.01
anzio,0,IT,1554148773,71,41.45,12.63,59.0,1.12
deep river,75,CA,1554145200,59,46.1,-77.49,37.4,9.17
chirnside,88,GB,1554148884,83,55.8,-2.21,45.0,8.01
